"player","team","position","height","weight","age","experience","college","salary","games","minutes","points","points3","points2","points1"
"Alan Anderson","LAC","SF",78,220,34,7,"Michigan State University",1315448,30,308,86,14,16,12
"Austin Rivers","LAC","SG",76,200,24,4,"Duke University",1.1e+07,74,2054,889,111,212,132
"Blake Griffin","LAC","PF",82,251,27,6,"University of Oklahoma",20140838,61,2076,1316,38,441,320
"Brandon Bass","LAC","PF",80,250,31,11,"Louisiana State University",1551659,52,577,292,1,106,77
"Brice Johnson","LAC","PF",82,230,22,0,"University of North Carolina",1273920,3,9,4,0,2,0
"Chris Paul","LAC","PG",72,175,31,11,"Wake Forest University",22868827,61,1921,1104,124,250,232
"DeAndre Jordan","LAC","C",83,265,28,8,"Texas A&M University",21165675,81,2570,1029,0,412,205
"Diamond Stone","LAC","C",83,255,19,0,"University of Maryland",543471,7,24,10,0,3,4
"J.J. Redick","LAC","SG",76,190,32,10,"Duke University",7377500,78,2198,1173,201,195,180
"Jamal Crawford","LAC","SG",77,200,36,16,"University of Michigan",13253012,82,2157,1008,116,243,174
"Luc Mbah a Moute","LAC","SF",80,230,30,8,"University of California, Los Angeles",2203000,80,1787,484,43,148,59
"Marreese Speights","LAC","C",82,255,29,8,"University of Florida",1403611,82,1286,711,103,141,120
"Paul Pierce","LAC","SF",79,235,39,18,"University of Kansas",3500000,25,277,81,15,13,10
"Raymond Felton","LAC","PG",73,205,32,11,"University of North Carolina",1551659,80,1700,538,46,175,50
"Wesley Johnson","LAC","SF",79,215,29,6,"Iowa State University, Syracuse University",5628000,68,810,186,29,44,11
